,accuracy,train_seed,n_gen,n_ep,n_steps,reward
56,0.8,2,56,1140,912000,34.92108878572282
57,0.8,2,57,1160,928000,35.41517167154696
58,0.8,2,58,1180,944000,39.96022197889186
59,0.8,2,59,1200,960000,38.70867119069751
60,0.8,2,60,1220,976000,38.40517309777123
61,0.8,2,61,1240,992000,28.887722612304845
62,0.8,3,0,20,16000,21.48694771518071
63,0.8,3,1,40,32000,-22.048370493139764
64,0.8,3,2,60,48000,-5.723834566039328
65,0.8,3,3,80,64000,6.993957447268706
66,0.8,3,4,100,80000,31.007327319077525
67,0.8,3,5,120,96000,-16.491589275812252
68,0.8,3,6,140,112000,-23.59805187274391
69,0.8,3,7,160,128000,2.577163354188185
70,0.8,3,8,180,144000,-19.5549161876094
71,0.8,3,9,200,160000,23.279775131536788
72,0.8,3,10,220,176000,-27.24255827794023
73,0.8,3,11,240,192000,-19.80420155486534
74,0.8,3,12,260,208000,25.070107093798697
75,0.8,3,13,280,224000,9.614171788553945
76,0.8,3,14,300,240000,-36.766592153604336
